warning_id,project,method,num_essential,top1_is_essential,first_essential_rank,reciprocal_rank,recall@1,recall@3,recall@5
jsoup#0001,jsoup,bm25,3,1,1,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
jsoup#0002,jsoup,bm25,3,0,2,0.5,0.0,0.6666666666666666,1.0
jsoup#0003,jsoup,bm25,2,0,4,0.25,0.0,0.0,1.0
commons-collections#0001,commons-collections,bm25,3,1,1,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
commons-collections#0002,commons-collections,bm25,3,0,2,0.5,0.0,0.3333333333333333,1.0
commons-collections#0003,commons-collections,bm25,3,0,2,0.5,0.0,0.6666666666666666,0.6666666666666666
commons-collections#0004,commons-collections,bm25,3,1,1,1.0,0.3333333333333333,1.0,1.0
commons-collections#0005,commons-collections,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
commons-collections#0006,commons-collections,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,1.0
commons-collections#0007,commons-collections,bm25,3,0,4,0.25,0.0,0.0,0.6666666666666666
commons-compress#0001,commons-compress,bm25,3,1,1,1.0,0.3333333333333333,0.3333333333333333,1.0
commons-compress#0003,commons-compress,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
commons-compress#0004,commons-compress,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,1.0
commons-compress#0007,commons-compress,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
commons-compress#0008,commons-compress,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
commons-compress#0009,commons-compress,bm25,3,0,2,0.5,0.0,0.6666666666666666,0.6666666666666666
commons-compress#0010,commons-compress,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,1.0
commons-compress#0011,commons-compress,bm25,3,1,1,1.0,0.3333333333333333,0.6666666666666666,1.0
commons-compress#0012,commons-compress,bm25,2,0,3,0.3333333333333333,0.0,0.5,1.0
commons-compress#0013,commons-compress,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
commons-compress#0014,commons-compress,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
commons-compress#0015,commons-compress,bm25,3,0,2,0.5,0.0,0.6666666666666666,1.0
commons-compress#0016,commons-compress,bm25,3,1,1,1.0,0.3333333333333333,0.3333333333333333,1.0
commons-compress#0017,commons-compress,bm25,3,0,2,0.5,0.0,0.6666666666666666,1.0
commons-compress#0018,commons-compress,bm25,3,0,7,0.14285714285714285,0.0,0.0,0.0
commons-compress#0019,commons-compress,bm25,3,1,1,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
commons-compress#0021,commons-compress,bm25,3,0,3,0.3333333333333333,0.0,0.3333333333333333,1.0
commons-compress#0022,commons-compress,bm25,3,0,2,0.5,0.0,0.6666666666666666,1.0
commons-compress#0023,commons-compress,bm25,3,0,2,0.5,0.0,0.3333333333333333,0.3333333333333333
